Location,Hospital,Address,State,District,Pincode
"No. 674/A, 10Th Cross, 5Th Main, W O C Road 2Nd Stage, Mahalakshmi Puram",Pragathi Nursing Home,"No. 674/A, 10Th Cross, 5Th Main, W O C Road 2Nd Stage, Mahalakshmi Puram",Karnataka,Bengaluru Urban,560086
"No 877, Modhi Eye Hospital Road Ii Stage Extension West Of Chord Road  560086",Pristine Hospital And Research Centre,"No 877, Modhi Eye Hospital Road Ii Stage Extension West Of Chord Road",Karnataka,Bengaluru Urban,560086
"270/2, 4Th Main, Mahalakshmi Layout,",Sangolli Nursing Home,"#270/2, 4Th Main, Mahalakshmi Layout",Karnataka,Bengaluru Urban,560086
"760,7Th Main, Last Bus Stop,Swimming Pool, Mahalakshmi Layout,",Sanjeevani,"760,7Th Main, Last Bus Stop ,Swimming Pool, Mahalakshmi Layout",Karnataka,Bengaluru Urban,560086
"76/1, 11Th Cross Mahalakshmipuram West Of Chord Road  560086",Sneha Nursing Home,"76/1, 11Th Cross Mahalakshmipuram West Of Chord Road",Karnataka,Bengaluru Urban,560086
1078 11Th Main 9Th Cross Above Punjab National Bank Mahalakshmipura,Sri Ranga Arogyadhama,1078 11Th Main 9Th Cross Above Punjab National Bank Mahalakshmipura,Karnataka,Bengaluru Urban,560086
"86 Hosur Main Road, Madivala",Sri Venkateshwara Hospital,"86 Hosur Main Road , Madivala",Karnataka,Bengaluru Urban,560086
"No. 1, Near Water Tank Jakkur Main Road Amruthahalli -560092",Amrutha Hospital,"No. 1, Near Water Tank Jakkur Main Road Amruthahalli",Karnataka,Bengaluru Urban,560092
"No 43/2, Nh - 7, Bellary Road, Sahakara Nagar,  Kodigehalli Gate,",Cauvery Medical Center Limited,"No 43/2, Nh - 7, Bellary Road, Sahakara Nagar,  Kodigehalli Gate",Karnataka,Bengaluru Urban,560092
"No-150/24, Kodigehalli Main Road, Maruthinagar,-560092",Goldfinch Hospital,"No-150/24, Kodigehalli Main Road, Maruthinagar",Karnataka,Bengaluru Urban,560092
"8 G Block,60Feet Road,Shahakar Nagar",North Side Hospital And Diagnostic Centre,"8 G Block,60Feet Road ,Shahakar Nagar",Karnataka,Bengaluru Urban,560092
"43 Bellary Road, Bengluru, Bengluru,",Sankara Nethralaya,"43 Bellary Road, Bengluru, Bengluru",Karnataka,Bengaluru Urban,560092
"No 8, G -Block,Near Big Market, 60 Feet Road, Sahakar Nagar,",Sri Sai North Side Hospital,"No 8, G -Block,Near Big Market, 60 Feet Road, Sahakar Nagar",Karnataka,Bengaluru Urban,560092
"20, 1St Floor, 17 Th A Cross, Kaggadasapura Main Road C. V. Raman Nagar",Shakthikrupa Nursing Home,"# 20, 1St Floor, 17 Th A Cross, Kaggadasapura Main Road C. V. Raman Nagar",Karnataka,Bengaluru Urban,560093
21St Cross Kaggadasapura Main Road C V Raman Nagar  560093,Sree Lakshmi Hospital,21St Cross Kaggadasapura Main Road C V Raman Nagar,Karnataka,Bengaluru Urban,560093
"138, Sanjay Nagar,",Jayamahal Vilas Hospital,"138, Sanjay Nagar",Karnataka,Bengaluru Urban,560094
"8, Poojary Layout, 80Ft. Road, Rmv Iind Stage,Sanjaynagar,.",Nethra Eye Hospital,"8, Poojary Layout, 80Ft. Road, Rmv Iind Stage,Sanjaynagar",Karnataka,Bengaluru Urban,560094
"No.138, Aec Layout, Sanjay Nagar",Raj Mahal Vilas Hospital,"No.138, Aec Layout, Sanjay Nagar",Karnataka,Bengaluru Urban,560094
"No.2, Ngef Layout, Sanjaynagar Main Road,",S. J. Hospital,"No.2, Ngef Layout, Sanjaynagar Main Road",Karnataka,Bengaluru Urban,560094
"No,435,18Th Main 6Th Block (Near Indoor Stadium) Koramangala  560095",Acura Speciality Hospital,"No,435,18Th Main 6Th Block (Near Indoor Stadium) Koramangala",Karnataka,Bengaluru Urban,560095
"No.58, 5Th Cross,18Th Main,Dhanalakshmi Bank Bldg,' 6Th Bolck, Koramangala, -560095",Apollo Koramangla Cradle Limited,"No.58, 5Th Cross,18Th Main,Dhanalakshmi Bank Bldg,' 6Th Bolck, Koramangala",Karnataka,Bengaluru Urban,560095
"434, 18Th Main 80 Ft Road, 6Th Block, Opp Koramangala Bus Depot  560095",Devi Super Speciality Eye Hospital Pvt Ltd,"#434, 18Th Main 80 Ft Road, 6Th Block, Opp Koramangala Bus Depot",Karnataka,Bengaluru Urban,560095
"639,2-C Main, 8Th Block,Koramangala,",J P Dental Clinic,"#639,2-C Main, 8Th Block,Koramangala",Karnataka,Bengaluru Urban,560095
0,Sbj Healtcare Pvt Ltd,,Karnataka,Bengaluru Urban,560095
"No.51, Jyothi Nivas Colleges, 5Th Block, Kormangala,",The Apollo Clinic,"No.51, Jyothi Nivas Colleges, 5Th Block, Kormangala",Karnataka,Bengaluru Urban,560095
"No. 58.5Th Cross,18Th Main Dhanlakshmi Bank Building",The Cradle Hospital,"No. 58.5Th Cross,18Th Main Dhanlakshmi Bank Building",Karnataka,Bengaluru Urban,560095
"No. 1, 2Nd Cross, 5Th A Block, Koramangala,",Vaatsalaya Hospital,"No. 1, 2Nd Cross, 5Th A Block, Koramangala",Karnataka,Bengaluru Urban,560095
Koramangala,Well Spring,Koramangala,Karnataka,Bengaluru Urban,560095
"Nandini Layout, Saraswati Puram",Dr Varmas Jyothi Prasad Nursing Home Pvt Ltd,"Nandini Layout, Saraswati Puram",Karnataka,Bengaluru Urban,560096
"4,Sfhs,Next To Nandini Layout",J.P.Nursing Home,"#4,Sfhs,Next To Nandini Layout",Karnataka,Bengaluru Urban,560096
"Jai Bhuvaneshwarnagar, Nandini Layout,  South",Nandini Layout Meternity Home,"Jai Bhuvaneshwarnagar, Nandini Layout,  South",Karnataka,Bengaluru Urban,560096
"41-42/5 7Th Cross, Saraswathipuram, Nandini Layout, Main Road",Shankara Nethralaya Eye Hospital,"41-42/5 7Th Cross, Saraswathipuram, Nandini Layout, Main Road",Karnataka,Bengaluru Urban,560096
"50/2, Vidyaranyapura, Nanjappa Main Road",Ketham`S Hospital Pvt. Ltd,"# 50/2, Vidyaranyapura, Nanjappa Main Road",Karnataka,Bengaluru Urban,560097
"Nanjappa Road, Vidyaranna Pura Main Road",Kruthika Hospital,"Nanjappa Road, Vidyaranna Pura Main Road",Karnataka,Bengaluru Urban,560097
M S Palya Circle Vidyaranyapura Post,London Hospital,M S Palya Circle Vidyaranyapura Post,Karnataka,Bengaluru Urban,560097
"M S Palya, Bharath Nagar,Hesaraghatta Main Road,Vidyaranyapura Post",Nagappa Hadli Hospital,"M S Palya, Bharath Nagar,Hesaraghatta Main Road,Vidyaranyapura Post",Karnataka,Bengaluru Urban,560097
"M S Palya Circle, Vidyaranyapura Road",Naggapa Hadli Hospital,"M S Palya Circle, Vidyaranyapura Road",Karnataka,Bengaluru Urban,560097
"21/1, Lakshmipura Main Road,Vidyaranyapura,Opposite Lakshmipura Lake",Rajalakshmi Hospital,"#21/1, Lakshmipura Main Road,Vidyaranyapura,Opposite Lakshmipura Lake",Karnataka,Bengaluru Urban,560097
"17, Nti Layout, Vidyaranyapura",Soukya Hospital,"17, Nti Layout, Vidyaranyapura",Karnataka,Bengaluru Urban,560097
"No.363, Halageva Dera Halli, Village, Rajarojeshwari Nagar",Manipal Speciality Hospital,"No.363, Halageva Dera Halli, Village, Rajarojeshwari Nagar",Karnataka,Bengaluru Urban,560098
"No. 484/A, Ideal Homes Township,18Th Main Rd.Rajarajeshwarinagar",Rc Hospital,"No. 484/A, Ideal Homes Township,18Th Main Rd.Rajarajeshwarinagar",Karnataka,Bengaluru Urban,560098
"120, S. S Complex, Ideal Homes Circle, 9Th Main,Raja Rajeshwari Nagar, Opposite Nimishamba Temple",Sri Venkateshwara Nethralaya,"120, S. S Complex, Ideal Homes Circle, 9Th Main,Raja Rajeshwari Nagar, Opposite Nimishamba Temple",Karnataka,Bengaluru Urban,560098
"No-1406, 8Th Main, 7Th Cross 5Th Stage, 1St Phase,Beml Layout, Rajarajeswaringar",Sudhanva Health Care,"No-1406, 8Th Main, 7Th Cross 5Th Stage, 1St Phase,Beml Layout, Rajarajeswaringar",Karnataka,Bengaluru Urban,560098
"No.886, Beml Layout,Near Police Station Main Road,Rajarajeshwari Nagar",Unity Hospital,"No.886, Beml Layout,Near Police Station Main Road,Rajarajeshwari Nagar",Karnataka,Bengaluru Urban,560098
"483, 16Th Cross 18Th Main, Rajarajeshwari Nagar",Vasan Eye Care Hospital,"#483, 16Th Cross 18Th Main , Rajarajeshwari Nagar",Karnataka,Bengaluru Urban,560098
"258/A, Bommasandra Industrial Area, Anekal Taluk",Mazumdar Shaw Cancer Center and Multi-Specialty Hospital,"258/A, Bommasandra Industrial Area, Anekal Taluk",Karnataka,Bengaluru Urban,560099
258/A Bommasandra Industrial Area Taluk Bommasandra,"Narayana Hrudayalaya, Bommasandra",258/A Bommasandra Industrial Area Taluk Bommasandra,Karnataka,Bengaluru Urban,560099
"Narayana Health City,Narayana Hrudyalaya Campus, 258/A, Bommasandra, Hosur Road",Narayana Nethralaya Ii,"Narayana Health City, ,Narayana Hrudyalaya Campus, # 258/A, Bommasandra, Hosur Road",Karnataka,Bengaluru Urban,560099
"29/P2, The Health City Bommanasandra Industrial Area, Hosur Road Bommasandra",Sparsh Hospital,"29/P2, The Health City Bommanasandra Industrial Area, Hosur Road Bommasandra",Karnataka,Bengaluru Urban,560099
"258/A, Bommasandra Industrial Area, Anekal Taluk",Thrombosis Research Institute,"258/A, Bommasandra Industrial Area, Anekal Taluk",Karnataka,Bengaluru Urban,560099
"55/3A Govindana Settypalya Road Konappana Agrahara, Electronicity, Infosis  South Taluk",Anugrahaa Hospital,"55/3A Govindana Settypalya Road Konappana Agrahara, Electronicity, Infosis  South Taluk",Karnataka,Bengaluru Urban,560100
"No. 60/3, Konappana Agrahara, OppositeInfosys Convention Centre",Spring Leaf Health Care Pvt Ltd,"No. 60/3, Konappana Agrahara, OppositeInfosys Convention Centre",Karnataka,Bengaluru Urban,560100
"11/A 9Th Main, 13Th Cross 6Th Sector Hsr Layout Outer Ring Road",Asian Speciality Hospital(A Unit Of Orch Hospital and Healthcare Services Ltd),"11/A 9Th Main, 13Th Cross 6Th Sector Hsr Layout Outer Ring Road",Karnataka,Bengaluru Urban,560102
"No. 120/4, Haralur Road, Off Sarjapur Road, H S R Layout Post",Bmax Hospital India Pvt Ltd,"No. 120/4, Haralur Road, Off Sarjapur Road, H S R Layout Post",Karnataka,Bengaluru Urban,560102
"11A.9Th Main, 13Th Cross, Sector-6 Hsrlayout, Outer Ring Road",Orch Hospital and Healthcare Services,"11A.9Th Main, 13Th Cross, Sector-6 Hsrlayout, Outer Ring Road",Karnataka,Bengaluru Urban,560102
"203-205, 2 Nd Floor,K.V. Plaza, Green Glen Layout, Bellandur,Sarjapur Orr",Vitalis Medical Centre,"203-205, 2 Nd Floor ,K.V. Plaza, Green Glen Layout, Bellandur,Sarjapur Orr",Karnataka,Bengaluru Urban,560103
"No. 10 Pipeline Road, R.P.C. Layout, Vijayanagar",Sri Kalabyraveshwara Swamy Ayurvedic Medical Colle,"No. 10 Pipeline Road, R.P.C. Layout, Vijayanagar",Karnataka,Bengaluru Urban,560104
"Gandhi Sqare, Newpet,Anekal",Aditi Hospital,"Gandhi Sqare, , Newpet,Anekal",Karnataka,Bengaluru Urban,562106
"Mysore Bank Road, Anekal Town",Bhavana Nursing Home,"Mysore Bank Road, Anekal Town",Karnataka,Bengaluru Urban,562106
"Next To Corporation Bank Atm, Jigani",Indira Hospital,"Next To Corporation Bank Atm, Jigani",Karnataka,Bengaluru Urban,562106
"Sri Ram Temple Street, Gandhi SquareOppositeSri Ram Temple",Sri Srinivasa Hospital - Anekal,"Sri Ram Temple Street , Gandhi Square ,OppositeSri Ram Temple",Karnataka,Bengaluru Urban,562106
"C A Plot 65 Ring Road, Jigani Industrial Area",Y K Hospital,"C A Plot 65 Ring Road, Jigani Industrial Area",Karnataka,Bengaluru Urban,562106
"Hosur-  Highway, Near Check Post, Atttibele",N.R. Hospital,"Hosur-  Highway, Near Check Post, Atttibele",Karnataka,Bengaluru Urban,562107
"OppositeSyndicate Bank, Sarjapura Main Road, Attibele, Anekal (Taluk)",Sri Raghava Childrens And General Hospital,"OppositeSyndicate Bank, Sarjapura Main Road, Attibele, Anekal (Taluk)",Karnataka,Bengaluru Urban,562107
"Magadi,Ramanagara ric",Taluk Hospital Magadi,"Magadi,Ramanagara ric",Karnataka,Bengaluru Urban,562120
Dommasandra Bus Stop,Balaji Nursing Home,Dommasandra Bus Stop,Karnataka,Bengaluru Urban,562125
"Near Srirama Temple, Bagalur Road, Sarjapurr",Town Hospital,"Near Srirama Temple, Bagalur Road, Sarjapurr",Karnataka,Bengaluru Urban,562125
Byrathi Cross,Palguni Nursing Home,Byrathi Cross,Karnataka,Bengaluru Urban,562149
"Mylanahalli, B.K. Halli Post, Behind  International Airport",Sri Vinayaka Multispeciality Hospital and Trauma Centre,"Mylanahalli, B.K. Halli Post, Behind  International Airport",Karnataka,Bengaluru Urban,562149
"Sir Mvit Campus, Hunasamarana Halli, Yelahanka",Krishnadevaraya Hospital And Research Centre,"Sir Mvit Campus, Hunasamarana Halli, Yelahanka",Karnataka,Bengaluru Urban,562157
Bettahalasur Cross,Lakshmi Hospital,Bettahalasur Cross,Karnataka,Bengaluru Urban,562157
"OppositeReliance Petrol Pump, B.B. Road, Near Vidyanagar Cross",N.R.V Hospital,"OppositeReliance Petrol Pump, B.B. Road, Near Vidyanagar Cross",Karnataka,Bengaluru Urban,562157
"Sarjapur Road, John Nagar, Koramangala",St.John's Medical College Hospital,"Sarjapur Road, John Nagar, Koramangala",Karnataka,Bengaluru Urban,560034
"Columbia Asia Hospital, Hebbal KempapuraPhone-",Columbia Asia Hospital,"Columbia Asia Hospital, Hebbal KempapuraPhone",Karnataka,Bengaluru Urban,560024
"CGHS Dispensary No.1, Shivajinagar (Functional\nDispensary)  18/1, Infantry Road, Shivajinagar",CGHS Dispensary No.1,"CGHS Dispensary No.1, Shivajinagar (Functional\nDispensary)  18/1, Infantry Road, Shivajinagar",Karnataka,Bengaluru Urban,0
"CGHS Dispensary No.2, Malleswaram (Functional\nDispensary)  Malleswaram Cooperative\nSociety Building, 8th Cross, Margoss Road,\nMalleswaram",CGHS Dispensary No.2,"CGHS Dispensary No.2, Malleswaram (Functional\nDispensary)  Malleswaram Cooperative\nSociety Building, 8th Cross, Margoss Road,\nMalleswaram",Karnataka,Bengaluru Urban,560003
"CGHS Dispensary No.3, Basavanagudi  A-5,\nAradhya Complex, Vanivilas Road,\nBasavanagudi",CGHS Dispensary No.3,"CGHS Dispensary No.3, Basavanagudi  A-5,\nAradhya Complex, Vanivilas Road,\nBasavanagudi",Karnataka,Bengaluru Urban,550004
"CGHS Dispensary No.4, Ulsoor  No.27, Car Street\nUlsoor",CGHS Dispensary No.4,"CGHS Dispensary No.4, Ulsoor  No.27, Car Street\nUlsoor",Karnataka,Bengaluru Urban,560004
"CGHS Dispensary No.5, Vijaynagar  GPRA CPWD\nQuarters, Vijaynagar",CGHS Dispensary No.5,"CGHS Dispensary No.5, Vijaynagar  GPRA CPWD\nQuarters, Vijaynagar",Karnataka,Bengaluru Urban,560040
"CGHS Dispensary No.6, Jayanagar  No.57/190,\nR.V.Road, 2nd Block, Jayanagar",CGHS Dispensary No.6,"CGHS Dispensary No.6, Jayanagar  No.57/190,\nR.V.Road, 2nd Block, Jayanagar",Karnataka,Bengaluru Urban,560011
"CGHS Dispensary No.7, Koramangala, CPWD\nQuarters, Koramangala",CGHS Dispensary No.7,"CGHS Dispensary No.7, Koramangala, CPWD\nQuarters, Koramangala",Karnataka,Bengaluru Urban,560034
"CGHS Dispensary No.8, Domlur, CPWD Quarters, Domlur",CGHS Dispensary No.8,"CGHS Dispensary No.8, Domlur, CPWD Quarters, Domlur",Karnataka,Bengaluru Urban,560038
"CGHS Dispensary No.9, Gangenahalli  256, 1st\nCross, II Main Ganganagar, Layout",CGHS Dispensary No.9,"CGHS Dispensary No.9, Gangenahalli  256, 1st\nCross, II Main Ganganagar, Layout",Karnataka,Bengaluru Urban,0
"CGHS Dispensary No.10, DRDO Complex  DRDO\nComplex, C.V.Raman Nagar",CGHS Dispensary No.10,"CGHS Dispensary No.10, DRDO Complex  DRDO\nComplex, C.V.Raman Nagar",Karnataka,Bengaluru Urban,560093
"CGHS POLYCLINIC, Shivajinagar  No.\n119/1 and 2, Infantry Road, Shivajinagar",CGHS POLYCLINIC,"CGHS POLYCLINIC, Shivajinagar  No.\n119/1 and 2, Infantry Road, Shivajinagar",Karnataka,Bengaluru Urban,560001
"477, 1st Main, B Block",Aayugs Multispeciality Hospital,"#477, 1st Main, B Block",Karnataka,Bengaluru Urban,560037
"77, 100 Ft.Ring Road, B.S.K.3rd Stage, 5th Block","Abhaya Eye Hospital, Super Speciality Eye Care Centre","# 77, 100 Ft.Ring Road, B.S.K.3rd Stage, 5th Block",Karnataka,Bengaluru Urban,560085
"17, Dr.M.H.Mari Gowda Road, Opp Wilson Garden",Abhaya Hospital,"17, Dr.M.H.Mari Gowda Road, Opp Wilson Garden",Karnataka,Bengaluru Urban,560027
"HIG 2024, 3rd B Cross, B Sector, Opposite national public school, Near SBI Bank Yelahanka new town",Abhishek Netradhama,"HIG 2024, 3rd B Cross, B Sector, Opposite national public school, Near SBI Bank Yelahanka new town",Karnataka,Bengaluru Urban,560160
"435, Acura Hospital, 18th Main, 6th Block, Koramangala",Acura Speciality Hospital,"435, Acura Hospital, 18th Main, 6th Block, Koramangala",Karnataka,Bengaluru Urban,560095
"No.244, 7th cross, VI Block, III Phase,\nBanashankari III Stage, Opposite Kamakya Theatre",Aditya Netralaya,"No.244, 7th cross, VI Block, III Phase,\nBanashankari III Stage, Opposite Kamakya Theatre",Karnataka,Bengaluru Urban,560085
"S.V.Arcade, Devarachikkana Halli Road, Off Bannerugatta Road, Iim Post.",Akshara Eye Hospital,"S.V.Arcade, Devarachikkana Halli Road, Off Bannerugatta Road, Iim Post",Karnataka,Bengaluru Urban,560076
"227/A, Vidyagiri Layout, Next To Axis Bank, Nagarabhavi Circle",Akshaya Nethralaya,"227/A, Vidyagiri Layout, Next To Axis Bank, Nagarabhavi Circle",Karnataka,Bengaluru Urban,560072
"No.58.5th Cross, 18th Main Dhanlakshmi Bank Building",Apollo Bengaluru Cradle Limited,"No.58.5th Cross, 18th Main Dhanlakshmi Bank Building",Karnataka,Bengaluru Urban,560095
"No.25, 46th Cross, 5th Block, Jayanagar, Bengaluru",Apollo Bengaluru Cradle Limited,"No.25, 46th Cross, 5th Block, Jayanagar",Karnataka,Bengaluru Urban,560011
"21/2, 14th Cross, 3rd Block, Jayanagar",Apollo Speciality Hospital,"21/2, 14th Cross, 3rd Block, Jayanagar",Karnataka,Bengaluru Urban,560011
"6/2 B, Opposite Suryanagara, Phase 1, Chandpura, Anekal Main Road",Athreya Hospital,"6/2 B, Opposite Suryanagara, Phase 1, Chandpura, Anekal Main Road",Karnataka,Bengaluru Urban,560081
"230, Amarjyothi Layout, Off.Intermediate Ring Road, Domlur Extension",Ayurvaid Hospital,"230, Amarjyothi Layout, Off.Intermediate Ring Road, Domlur Extension",Karnataka,Bengaluru Urban,560071
"202, R.V.Road","Bengaluru Hospital, Susruta Medical Aid And\nResearch Home Limited","202, R.V.Road",Karnataka,Bengaluru Urban,560001
Hudson Circle,Bengaluru Kidney Stone Hospital,Hudson Circle,Karnataka,Bengaluru Urban,0
J.C.Road,Bengaluru West Lions Hospital,J.C.Road,Karnataka,Bengaluru Urban,0
Seshadripuram,Bhagavan  Mahaveer  Jain Nethralaya,Seshadripuram,Karnataka,Bengaluru Urban,0
"No.17, Millers Road, Vasantha Nagar",Bhagawan Mahaveer Jain Heart Centre,"No.17, Millers Road, Vasantha Nagar",Karnataka,Bengaluru Urban,560052
"No 1402, Sarakki Gate, J P Nagar, 1st Phase, K.P.Main Road",Bharath Nursing Home,"No 1402, Sarakki Gate, J P Nagar, 1st Phase, K.P.Main Road",Karnataka,Bengaluru Urban,560078
"4, Nagarbhavi Main Road, Prasanthnagar",Bharathy Hospital,"4, Nagarbhavi Main Road, Prasanthnagar",Karnataka,Bengaluru Urban,560079
"149, 15th Main Road Nhcl",Chanre Rheumatology And  Immunology Centre And Research,"#149, 15th Main Road Nhcl",Karnataka,Bengaluru Urban,560079
"1st stage, Indiranagar",Chinmaya Mission Hospital,"1st stage, Indiranagar",Karnataka,Bengaluru Urban,560038
"C.M.H.Road, Indiranagar, 2nd Stage",Chinmaya Narayana Super Specialty Centre,"C.M.H.Road, Indiranagar, 2nd Stage",Karnataka,Bengaluru Urban,560038
"100/101, Lic Colony West Of Chord, Basaveshwaranagar",Chord Road Hospital Pvt Ltd,"#100/101, Lic Colony West Of Chord, Basaveshwaranagar",Karnataka,Bengaluru Urban,560079
"1533, 9th Main,\n3rd Block, Jayanagar","Cloud Nine, Jayanagar","#1533, 9th Main,\n3rd Block, Jayanagar",Karnataka,Bengaluru Urban,560011
"No.33, II Main Road, Near Police Station, Vyalikaval",Curad My Center For Diabetes,"No.33, II Main Road, Near Police Station, Vyalikaval",Karnataka,Bengaluru Urban,560003
Koramangala,Curie Centre Of Oncology,Koramangala,Karnataka,Bengaluru Urban,0
Padmanabhanagar,D.G.Hospital,Padmanabhanagar,Karnataka,Bengaluru Urban,560073
"27, Old Madras Road",Deepa Hospital,"#27, Old Madras Road",Karnataka,Bengaluru Urban,560036
"434, 18th Main, 80 Feet Road, 6th Block, Opposite Koramangala Bus Depot, Koramangala",Devi Eye Hospital,"#434, 18th Main, 80 Feet Road, 6th Block, Opposite Koramangala Bus Depot, Koramangala",Karnataka,Bengaluru Urban,560095
"220, 2nd phase, JP Nagar,\nNext to Nilgiris",Divakars Speciality Hospital,"220, 2nd phase, JP Nagar,\nNext to Nilgiris",Karnataka,Bengaluru Urban,560078
"966/ 22, Service Road, RPC Layout, Vijayanagar, Opposite Syndicate Bank",Divya Drishti Eye Hospital,"#966/ 22, Service Road, RPC Layout, Vijayanagar, Opposite Syndicate Bank",Karnataka,Bengaluru Urban,560104
Kadugondanahalli,Dr Ambedkar Medical College Hospital,Kadugondanahalli,Karnataka,Bengaluru Urban,560045
"No.1013, 1st Block, 3 Rd Cross, Hrbr Layout, Kalyan Nagar",Dr.Zamindar Microsurgical Eye Centre,"No.1013, 1st Block, 3 Rd Cross, Hrbr Layout, Kalyan Nagar",Karnataka,Bengaluru Urban,560043
"11, 7th Cross, Kaveriappa Industrial Area, N.S.Palya, Bannerghatta Road",Dr.AgarwalS Eye Hospital,"#11, 7th Cross, Kaveriappa Industrial Area, N.S.Palya, Bannerghatta Road",Karnataka,Bengaluru Urban,560076
Kadugondanahalli\n,Dr. B.R.Ambedkar Medical College Hospital,Kadugondanahalli,Karnataka,Bengaluru Urban,560045
"1st Main Road, 7th Cross, Ganganagar",Dr. T.V.Ramesh Piles Hospital,"1st Main Road, 7th Cross, Ganganagar",Karnataka,Bengaluru Urban,560032
"No 23, 80 Feet Road, Gurukrupa Layout","Fortis Hospital, Nagarbhavi","No 23, 80 Feet Road, Gurukrupa Layout",Karnataka,Bengaluru Urban,560072
"14, Cunningham Road",Fortis Hospitals Limited,"14, Cunningham Road",Karnataka,Bengaluru Urban,560052
"132/18, 22nd Cross, Jayanagar, 3 rd Block",Garden City Hospital,"132/18, 22nd Cross, Jayanagar, 3 rd Block",Karnataka,Bengaluru Urban,560011
"91, Magadi Chord Road",Gayathri Hospital,"# 91, Magadi Chord Road",Karnataka,Bengaluru Urban,560040
"20 and  21, 14th Main, V Sector, Hrs Layout, Opposite Agara Lake",Greenview Medical Center,"# 20 and  21, 14th Main, V Sector, Hrs Layout, Opposite Agara Lake",Karnataka,Bengaluru Urban,560034
"1558, Opposite Chandra Layout Bus Stand, Chandra Layout",Gurushree Hi - Tech Multi Speciality Hospital,"# 1558, Opposite Chandra Layout Bus Stand, Chandra Layout",Karnataka,Bengaluru Urban,560040
"44-45/2, 2nd Cross Raja Ram Mohan",HCG Bengaluru Institute Of Oncology,"44-45/2, 2nd Cross Raja Ram Mohan",Karnataka,Bengaluru Urban,560027
"88, 17th, A Main, 2nd Cross, 5th Block, Koramangala","HCG, Koramangala","# 88, 17th, A Main, 2nd Cross, 5th Block, Koramangala",Karnataka,Bengaluru Urban,560095
"240, 32nd Cross, 7 Th Block",Hi Tech Kidney Stone Hospital,"#240, 32nd Cross, 7 Th Block",Karnataka,Bengaluru Urban,560001
"No.6/7, Crescent Road Cross, Kumar Park East",Hitech Kidney Stone Hospital,"No.6/7, Crescent Road Cross, Kumar Park East",Karnataka,Bengaluru Urban,560001
"74/2, Jarakabande Kaval (Behind CRPF Campus), Post Attur, Via Yelahanka",I-Aim Healthcare Centre,"74/2, Jarakabande Kaval (Behind CRPF Campus), Post Attur, Via Yelahanka",Karnataka,Bengaluru Urban,560106
"3 p (2), 60 ft.Road, 1st Block (Valgerahalli), Jnanabharathi Layout",Indus Westside Hospital,"#3 p (2), 60 ft.Road, 1st Block (Valgerahalli), Jnanabharathi Layout",Karnataka,Bengaluru Urban,560059
"25, 26, 27, 1st Cross Block",Jayashree Multispeciality Hospital,"#25, 26, 27, 1st Cross Block",Karnataka,Bengaluru Urban,560068
"No.11/2, Magadi Main Road, Agrahara Dasarahalli",Jeevani Health And Medicare Private Limited,"No.11/2, Magadi Main Road, Agrahara Dasarahalli",Karnataka,Bengaluru Urban,560079
"V.V.Puram, K.R.Road",K.I.M.S.Hospital And  Research Centre,"V.V.Puram, K.R.Road",Karnataka,Bengaluru Urban,560004
"Lakeside Medical Centre and  Hospital, 33/4, Meaneen Avenue",Karnatakaa Nephrology And Transplant Institute,"Lakeside Medical Centre and  Hospital, 33/4, Meaneen Avenue",Karnataka,Bengaluru Urban,560042
"89, 7th cross, N R Colony, Near Bull temple",Karthik Nethralaya,"89, 7th cross, N R Colony, Near Bull temple",Karnataka,Bengaluru Urban,560050
"No.47, 11th Main, 17th Cross, Malleshwaram",Kids Clinic India Pvt.Ltd.- Cloudnine,"No.47, 11th Main, 17th Cross, Malleshwaram",Karnataka,Bengaluru Urban,560055
"115, Kodihalli, Opposite Total Mall",Kids Clinic India Pvt.Ltd.(Cloudnine),"#115, Kodihalli, Opposite Total Mall",Karnataka,Bengaluru Urban,560017
"237 / 37, 10 Th Main, Nagendra Block",Kusuma Hospital,"237 / 37, 10 Th Main, Nagendra Block",Karnataka,Bengaluru Urban,560050
"No - 65, 1st Main, Seshadripuram",Lalitha Healthcare Pvt.Ltd.(A Fortis Network Hospital),"No - 65, 1st Main, Seshadripuram",Karnataka,Bengaluru Urban,560020
No.104/1,Live 100 Hospital,No.104/1,Karnataka,Bengaluru Urban,560068
"M S R I T Nagar, New Bel Road",M.S. Ramaiah Memorial Hospitals(Only For Corporate),"M S R I T Nagar, New Bel Road",Karnataka,Bengaluru Urban,560054
"5/2, 13th Cross, Hosur Road, Wilson Garden",M.G. Speciality Health Care (A Unit Of Mgmi Hospitals(India) Pvt Ltd),"#5/2, 13th Cross, Hosur Road, Wilson Garden",Karnataka,Bengaluru Urban,560027
"193/4m Sondekoppa Circle, N.H.-4, Nelamangala",M.S. Ramaiah Harsha Hospital,"193/4m Sondekoppa Circle, N.H.-4, Nelamangala",Karnataka,Bengaluru Urban,562123
M.S.Ramaiah Memorial Hospital,M.S.R.Narayana Hrudayalaya,M.S.Ramaiah Memorial Hospital,Karnataka,Bengaluru Urban,560054
Gokula Extension,M.S. Ramaiah Medical Teaching Hospital\n,Gokula Extension,Karnataka,Bengaluru Urban,560051
"No.02, Sirur Park Road, Seshadripuram",Mahaveer Eye Hospital Private Limited,"No.02, Sirur Park Road, Seshadripuram",Karnataka,Bengaluru Urban,560020
